NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
1154,Aparat locomotor,Genunchi,Gonalgie determinată de leziuni femuro-patelare,M,IRM,Indicat,B,"Examinare importantă pentru diagnosticul și evaluarea luxațiilor patelare traumatice. Stabilește bilanțul cert al leziunilor intraarticulare și periarticulare. Determinarea certă a leziunilor cartilaginoase, a localizarii acestora. Examen utilizat în monitorizare  post terapeutică.",,0,0,Nu
1155,Aparat locomotor,Genunchi,Gonalgie determinată de leziuni femuro-patelare,T,CT,Indicat,C,Masurarea raporturilor trohlee femuro-patelară.,,1,1,Nu
1156,Aparat locomotor,Genunchi,Gonalgie determinată de leziuni femuro-patelare,T,Artro CT,Doar cu aviz specializat,C,"Examen pentru analiza cartilajului femuro-patelar, rar efectuată.",,1,1,Nu
1157,Aparat locomotor,Genunchi,Gonalgie determinată de leziuni femuro-patelare,E,Ecografie ,Neindicat,C,Nu permite masurători certe.,,0,0,Nu
1158,Aparat locomotor,Genunchi,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1159,Aparat locomotor,Picior,Halux valgus,G,Radiografie,Indicat,C,"Radiografie într-o singură incidență, efectuată preoperator.",,1,1,Nu
1160,Aparat locomotor,Picior,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1161,Aparat locomotor,Șold,Coxalgie,G,Radiografie,Indicat,C,Radiografiile sunt necesare și suficiente pentru diagnosticul coxartrozei și permit cuantificarea unei displazii de șold.,,2,2,Nu
1162,Aparat locomotor,Șold,Coxalgie,N,PET-CT (F18-FDG),Indicat,C,Alegerea modalitatii imagistice nucleare se face de catre medicul de medicina nucleara.,,3,3,Nu
1163,Aparat locomotor,Șold,Coxalgie,M,Artro-IRM ,Doar cu aviz specializat,C,Condropatii incipiente și leziuni ale labrumului.,,0,0,Nu
1164,Aparat locomotor,Șold,Coxalgie,N,"Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT",Doar cu aviz specializat,B,Utila in caz de radiografie negative sau in caz de suspiciune asupra unei fracturi prin insuficienta osoasa.,,2,2,Nu
1165,Aparat locomotor,Șold,Coxalgie,T,Artro-CT,Doar cu aviz specializat,C,Condropatii incipiente și leziuni ale labrumului.,,2,3,Nu
1166,Aparat locomotor,Șold,Coxalgie,E,Ecografie,Neindicat în primă intenție,C,"Poate evidenția un epanșament intraarticular, o sinovită sau o patologie periarticulară",,0,0,Nu
1167,Aparat locomotor,Șold,Coxalgie,M,IRM pelvin,Neindicat în primă intenție,B,"Modificări osoase (algodistrofie, fractură de stress, osteonecroza), sinoviale și periarticulare.",,0,0,Nu
1168,Aparat locomotor,Șold,Necroza aseptică de cap femural,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Permite diagnosticul in stadii incipiente a focarelor latente.,,4,4,Nu
1169,Aparat locomotor,Șold,Necroza aseptică de cap femural,N,"Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB si 
SPECT-CT",Doar cu aviz specializat,B,Permite diagnosticul in stadii incipiente a focarelor latente.,,2,2,Nu
1170,Aparat locomotor,Șold,Necroza aseptică de cap femural,G,Radiografie coxo-femurala,Indicat,B,Modificările radiografice sunt evidente din stadiul II de boală.,,1,2,Nu
1171,Aparat locomotor,Șold,Necroza aseptică de cap femural,M,IRM bazin osos,Indicat,B,Confirmă diagnosticul și poate evalua impactul necrozei osoase. Vizualizează și capul femural controlateral.,,0,0,Nu
1172,Aparat locomotor,Șold,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1173,Aparat locomotor,Umăr,Nevralgie cervico-brahiala,T,CT coloana cervicala,Doar în cazuri particulare,B,"În caz de contraindicație pentru examenul IRM, examinarea CT este indicată.",,1,2,Nu
1174,Aparat locomotor,Umăr,Nevralgie cervico-brahiala,T,Mielo-CT,Doar în cazuri particulare,B,"În caz de simptome și semne ce sunt țn discordanță cu examinarea IRM sau în caz de contraindicație IRM, se poate opta pentru Mielo-CT.",,1,2,Nu
1175,Aparat locomotor,Umăr,Nevralgie cervico-brahiala,M,IRM coloana cervicala,Doar cu aviz specializat,B,"În caz de evoluție nefavorabilă a tratamentului medical și în cazul în care se impune o intervenție invazivă, examinările complementare sunt necesare , IRM-ul fiind de primă intenție.",,0,0,Nu
1176,Aparat locomotor,Umăr,Nevralgie cervico-brahiala,G,Radiografie coloană cervicală,Neindicat în primă intenție,B,Tratamentul nevralgiei cervico-brahiale  de origine artrozică sau herniară e în primul rand medical. In caz de prim puseu  tratamentul simptomatic trebuie sa preceadă orice investigație imagistică.,,1,1,Nu
1177,Aparat locomotor,Umăr,Patologia umărului,E,Ecografie,Indicat,C,In caz de suspiciune de patologie a coafei rotatorilor.,,0,0,Nu
1178,Aparat locomotor,Umăr,Patologia umărului,G,Radiografie,Indicat,C,Doar in caz de absența răspunsului terapeutic după 4 saptamâni sau în caz de umăr hiperalgic.,,1,1,Nu
1179,Aparat locomotor,Umăr,Patologia umărului,M,Artro-IRM,Doar cu aviz specializat,B,În caz de condropatie infraradiologică sau preoperator.,,0,0,Nu
1180,Aparat locomotor,Umăr,Patologia umărului,T,Artro-CT,Doar cu aviz specializat,B,În caz de condropatie infraradiologică sau preoperator.,,1,2,Nu
1181,Aparat locomotor,Umăr,Patologia umărului,M,IRM,Neindicat în primă intenție,C,În caz de condropatie infraradiologică sau preoperator.,,0,0,Nu
1182,Aparat locomotor,Umăr,Umăr dureros,E,Ecografia,Indicat,C,Ecografia este indicata în cazul în care radiografiile inițiale sunt normale sau nu sunt  suficiente pentru a stabili diagnosticul.,,0,0,Nu
1183,Aparat locomotor,Umăr,Umăr dureros,G,Radiografie,Indicat,C,"Examenul radiografic este indicat dacă nu există răspuns la tratament dupa patru saptămâni. Acesta  poate fi suficient pentru a confirma diagnosticul în caz de ruptură coafă rotatori sau tendinopatii calcificate. În cazul diagnosticului de  boală profesională, radiografiile sunt indicate pentru a evalua absența tendinopatiilor calcifiante sau a periartritei scapulo-humerale.
",,1,1,Nu
1184,Aparat locomotor,Umăr,Umăr dureros,M,Artro IRM,Neindicat în primă intenție,C,Examinare efectuată când radiografiile +/- examenul ecografic nu pot stabili diagnosticul; pentru evaluarea condropatiilor sau pentru a cuantifica leziunile înaintea unei intervenții chirurgicale.,,0,0,Nu
1185,Aparat locomotor,Umăr,Umăr dureros,M,IRM ,Neindicat în primă intenție,C,Examinarea IRM este efectuată când radiografiile +/- examenul ecografic nu pot stabili diagnosticul; pentru evaluarea condropatiilor sau pentru a cuantifica leziunile înaintea unei intervenții chirurgicale.,,0,0,Nu
1186,Aparat locomotor,Umăr,Umăr dureros,T,Artro CT,Neindicat în primă intenție,C,"În cazul diagnosticului de boală profesională, este recomandată  efectuarea IRM sau artro CT în cazul in care examinarea IRM este contraindicată.",,2,2,Nu
1187,Aparat locomotor,Umăr,Umăr dureros instabil,G,Radiografie,Indicat,B,"Efectuarea de incidențe speciale permite detectarea leziunilor osoase recente/degenerative, a luxației scapulo-humerale sau a unei eventuale displazii a gleznei.",,1,1,Nu
1188,Aparat locomotor,Umăr,Umăr dureros instabil,M,Artro IRM,Doar cu aviz specializat,B,"Injectarea intraarticulară a produșilor de contrast permite un bilanț preoperator al leziunilor labrumului, structurilor capsulo-ligamentare și ale coafei rotatorilor, precum și evaluarea leziunilor cartilaginoase.",,1,1,Nu
1189,Aparat locomotor,Umăr,Umăr dureros instabil,T,Artro CT,Doar cu aviz specializat,B,"Injectarea intraarticulară a produșilor de contrast permite un bilanț preoperator al leziunilor labrumului, structurilor capsulo-ligamentare și ale coafei rotatorilor, precum și evaluarea leziunilor cartilaginoase.",,2,2,Nu
1190,Aparat locomotor,Umăr,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1191,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme hepatice hemodinamic instabile,I,Arteriografie cu embolizare,Neindicat,B,La un pacient hemodinamic foarte instabil care nu raspunde la umplere hemodinamicacondui ta trebuie sa fie chirurgicala in prima intentie.,RI - PB3,4,4,Da
1192,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme hepatice hemodinamic stabile,I,Arteriografie cu embolizare,Indicat,B,"Indicată de urgență dacă  a) se evidențiază extravazare de produs  de contrast la CT (= sângerare activă); b) după laparotomie, persistă sângerarea arterială la un pacient stabil hemodinamic sau instabil, dar care răspunde bine la  umplere. In caz de persistență a unei sângerari arteriale inaccesibile unui gest chirurgical de hemostază, embolizarea poate fi indicată ca gest de a doua intenție - gesturi terapeutice multidisciplinare . Embolizarea trebuie sa fie distala si selectiva.",RI - PB3,4,4,Da
1193,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme renale hemodinamic instabile,I,Arteriografie cu embolizare,Doar în cazuri particulare,B,La un pacient hemodinamic foarte instabil si care nu raspunde la umplere tratamentul trebuie sa fie chirurgical in prima intentie. La un pacient hemodinamic stabil sau instabil care reactioneaza bine la umplere daca nu exista extravazarea produsului de contrast la CT.,RI - PB3,4,4,Da
1194,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme renale hemodinamic stabile,I,Arteriografie cu embolizare,Indicat,B,"Arteriografia este indicata la pacientii hemodinamic stabili sau instabili, dar care raspund bine la umplere hemodinamica cu un traumatism de gradul I- IV ,dar in egala masura pentru gradul V atunci cand extravazarea produsului de contrast poate fi identificata prin CT ( sangerare activa ) mai ales atunci cand este asociata cu hemoperitoneu semnificativ. Embolizarea este efectuata daca sangerarea este obiectivata arteriografic. Embolizarea trebuie sa fie selectiva pentru a delimita pierderea parenchimului renal.",RI - PB3,4,4,Da
1195,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme splenice hemodinamic instabile,I,Arterografie cu embolizare,Neindicat,B,La pacienti hemodinamic foarte instabili care nu raspund la embolizare conduita terapeutica trebuie sa fie chirurgicala in urgenta (prognostic vital in joc).,RI - PB3,4,4,Da
1196,Radiologie intervențională,Traumatisme,Traumatisme grave ale abdomenului cu hemoragie severa – traumatisme splenice hemodinamic stabile,I,Arteriografia cu embolizare,Indicat,B,"Indicata daca apar: a) extravazare de produs de contrast identificata la CT b) fara extravazare de produs de contrast identificabil prin CT. La un pacient stabil hemodinamic sau instabil, dar care raspunde bine la umplere, embolizarea este indicata de urgent la CT ( sangerare activa). Poate fi discutata in scop profilactic la un pacient stabil fara sangerare activa in caz de : traumatism de grad ridicat 3 cu hemoperitoneu abundent care necesita transfuzii repetate sau de prezenta precoce de tip pseudoanevrism sau combinat in functie de tipul de leziune de starea hemodinamica a pacientului. Embolizarea arterei splenice poate fi realizata in regiunea proximala - traumatisme grave- distale - afectare plurisistematica pseudoanevrismala sau combinata in functie de tipul de leziune de starea pacientului si de experienta operatorului.",RI - PB3,4,4,Da
1197,Radiologie intervențională,Traumatisme,Politraumatism: hemoragie gravă asociată unei fracturi de bazin,I,Arteriografie cu embolizare,Doar cu aviz specializat,C,"Indicată de primă intenție în absența vizualizării ecografice a punctului de plecare a hemoragiei abdominale[C]: în cazul intervenției chirurgicale imediate (politraumatism cu instabilitate hemodinamică), embolizarea poate fi propusă după meșajul preperitoneal (pre-peritoneal packing ), în cazul persistenței sângerării arteriale inaccesibilă chirurgical[C]; este indicată în cazul extravazării substanței de contrast la examenul CT. Embolizarea poate fi proximală (ocluzie hipogastrică uni- sau bilaterală) sau selectivă în funcție de statusul hemodinamic al pacientului, în funcție de pierderile sanguine inițiale, de numărul de surse hemoragice identificate arteriografic[B]; embolizarea ar putea fi repetată în cazul recidivei hemoragice după încetarea vasospasmului[B]; de asemenea este indicată în toate cazurile, fiind importantă stabilizarea pelvină asociată (clampare, fixator extern) înainte de oprirea hemoragiei venoase[C]. Este tratamentul de elecție la pacienții cu stare hemodinamică instabilă și hemoragie pelvină demonstrată.",RI - PB3,3,4,Da
1198,Radiologie intervențională,Traumatisme,Politrauma (cu imobilizare prelungita),I,Filtru vena cava,Indicat,B,"Pacientii cu politraume ce impun imobilizarea prelungita la pa, in principal fracturi ale oaselor lungi, bazinului si coloanei vertebrale; Pacientii politrauma ce nu pot primi anticoagulante datorita riscului crescut de sangerare",RI - PB4,1,2,Da
1199,Radiologie intervențională,Traumatisme,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1200,Radiologie intervențională,Traumatisme,Traumatism abdominal cu hemoragie severă,I,Embolizare,Doar cu aviz specializat,C,"Embolizarea trebuie să vizeze teritoriul hemoragic, reperat angiografic sub forma unui extravazări de substanță de contrast.",RI - PB3,3,4,Da
1201,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism hepatic-hemodinamic instabil-embolizare în urgență,I,Arteriografie cu embolizare,Neindicat,B,"La un pacient foarte instabil hemodinamic, care nu răspunde la reumplere vasculară, abordarea de primă intenție trebuie să fie chirurgicală (packing).",,4,4,Da
1202,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism hepatic-hemodinamic stabil-embolizare în urgență,I,Arteriografie cu embolizare,Indicat,B,"Indicată dacă: a) la examenul CT se evidențiază extravazare de substanță de contrast[B]; b) după laparotomie dacă persistă sângerarea arterială[C]. La un pacient stabil hemodinamic sau instabil dar care răspunde bine la reumplerea vasculară, embolizarea este indicată de primă intenție dacă la examenul CT se evidențiază extravazare de substanță de contrast (sângerare activă). În cazul în care persistă sângerarea arterială inaccesibilă unei hemostaze chirurgicale, embolizarea poate fi indicată ca și a doua intenție (abordare multidisciplinară). Embolizarea trebuie să fie distală și selectivă[C].",,4,4,Da
1203,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism renal-hemodinamic instabil-embolizare în urgență,I,Arteriografie cu embolizare,Neindicat,B,"La un pacient foarte instabil hemodinamic, care nu răspunde la reumplere vasculară, abordarea de primă intenție este cea chirurgicală. La un pacient stabil hemodinamic sau instabil dar care răspunde bine la reumplerea vasculară dacă la examenul CT nu există extravazare de substanță de contrast.",,4,4,Da
1204,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism renal-hemodinamic stabil-embolizare în urgență,I,Arteriografie cu embolizare,Indicat,?,"Arteriografia este indicată la pacienți stabili hemodinamic sau instabili dar care răspund bine la reumplerea vasculară, cu un traumatism renal de gradul I-IV dar și pentru anumite traumatisme gradul V[B], atunci când examenul CT evidențiază extravazarea substanței de contrast (sângerare activă) și mai ales dacă aceasta este asociată cu un hemoperitoneu semnificativ[C]. Embolizarea se face atunci când arteriografia pune în evidență sângerarea[C]. Embolizarea trebuie să fie selectivă pentru a limita pierderea parenchimatoasă renală[C].",,4,4,Da
1205,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism splenic-hemodinamic instabil-embolizare în urgență,I,Arteriografie cu embolizare,Neindicat,B,"La un pacient foarte instabil hemodinamic, care nu răspunde la reumplere vasculară, este indicată abordarea chirurgicală în urgență (este în joc prognosticul vital).",,4,4,Da
1206,Radiologie intervențională,Traumatisme,Traumatism abdominal grav cu hemoragie severă-traumatism splenic-hemodinamic stabil-embolizare în urgență,I,Arteriografie cu embolizare,Indicat,B,"Indicată dacă: a) la examenul CT se evidențiază extravazare de substanță de contrast[B]; b) la examenul CT nu se evidențiază extravazare de substanță de contrast[C]. La un pacient stabil hemodinamic sau instabil dar care răspunde bine la reumplerea vasculară, embolizarea este indicată de urgență dacă la examenul CT se evidențiază extravazare de substanță de contrast (sângerare activă). Poate fi discutată profilactic la un pacient stabil cu sângerare activă în următoarele cazuri: traumatism de gradul 3 cu hemoperitoneu masiv, hemoragie ocultă care necesită transfuzii repetate sau prezența precoce a unui pseudoanevrism. Embolizarea arterei splenice poate fi realizată prin abord proximal (traumatisme grave), abord distal (pseudoanevrism) sau combinat în funcție de tipul leziunii, statusul hemodinamic al pacientului și experiența operatorului[C].",,4,4,Da
1207,Radiologie intervențională,Traumatisme,Traumatism renal-diagnostic,A,Arteriografia renala,Doar cu aviz specializat,B,"Arteriografia este indicată în cazuri particulare, în urgență, pentru hemoragii necontrolate (sângerare activă la CT și status hemodinamic instabil) și în disecțiile posttraumatice ale arterei renale dacă se consideră posibilă recuperarea funcțională (durata ischemiei).",,2,2,Nu
1208,Radiologie intervențională,Traumatisme,Politraumatism: hemoragie gravă asociată unei fracturi de bazin – embolizare de urgență,I,Arteriografie cu embolizare,Doar cu aviz specializat,C,"Indicată de primă intenție în absența vizualizării ecografice a punctului de plecare a hemoragiei abdominale[C]: în cazul intervenției chirurgicale imediate (politraumatism cu instabilitate hemodinamică), embolizarea poate fi propusă după meșajul preperitoneal (pre-peritoneal packing ), în cazul persistenței sângerării arteriale inaccesibilă chirurgical[C]; este indicată în cazul extravazării substanței de contrast la examenul CT. Embolizarea poate fi proximală (ocluzie hipogastrică uni- sau bilaterală) sau selectivă în funcție de statusul hemodinamic al pacientului, în funcție de pierderile sanguine inițiale, de numărul de surse hemoragice identificate arteriografic[B]; embolizarea ar putea fi repetată în cazul recidivei hemoragice după încetarea vasospasmului[B]; de asemenea este indicată în toate cazurile, fiind importantă stabilizarea pelvină asociată (clampare, fixator extern) înainte de oprirea hemoragiei venoase[C].",,3,4,Da
1209,Radiologie intervențională,Traumatisme,Traumatism al aortei toracice,I,Angiografia aortei toracice,Doar cu aviz specializat,B,"Angiografia este utilă numai în cazul tratamentului de endoprotezare care, în prezent, este alternativa de referință.",,2,2,Nu
1210,Radiologie intervențională,Oncologie,"Tumori cerebrale și medulare – Stadializare, planificare operatorie",A,Angiografie conventionala,Doar cu aviz specializat,C ,angiografie conventionala - indicat la tumori vasculare sau bine vascularizate; se efectueaza in centre specializate de neurostiinte.,RI - PA-D,3,3,Nu
1211,Radiologie intervențională,Oncologie,Neoplasm mamar,I,Biopsie percutanată,Indicat,A,"Diagnosticul de malignitate poate fi afirmat în baza unei prelevări tisulare (biopsie histologică tru-cut sau macrobiopsie). Indicată pentru toate leziunile încadrate BI-RADS 4 și 5, pentru stabilirea diagnosticului de certitudine și a conduitei terapeutice ulterioare",RI - PC6,2,2,Nu
1212,Radiologie intervențională,Oncologie,Adenopatie axilară suspectă,I,Biopsie ganglionară,Doar în cazuri particulare,C,În cazurile în care mamografia si ecografia nu pun în evidență o leziune mamară suspectă,RI - PC6,0,2,Nu
1213,Radiologie intervențională,Oncologie,Formațiune mediastinală,I,Biopsie ghidată CT,Doar cu aviz specializat,B,Este puțin practicată în raport cu biopsia chirurgicală.,RI - PC1,3,3,Nu
1214,Radiologie intervențională,Oncologie,Neoplasm bronhopulmonar – diagnostic – suspiciune clinică,I,Puncție biopsie CT-ghidată,Doar în cazuri particulare,B,Indicată în cazul unei bronhoscopii negative sau realizată per primam în leziunile perferice. Absența celulelor tumorale la biopsie și diagnosticul alternativ nu permite eliminarea completă a diagnosticului de cancer.,RI - PC6,2,2,Nu
1215,Radiologie intervențională,Oncologie,"Nodul pulmonar, aflat in contact cu peretele toracic",I,Biopie ghidată ecografic,Doar cu aviz specializat,A,"Se contraindica efectuarea in caz de coagulopatie, suspiciune de insuficienta respiratorie, plaman unic chirurgical, lipsa de cooperare din partea pacientului.",RI - PC6,0,0,Nu
1216,Radiologie intervențională,Oncologie,Tumora pulmonara,I,Biopsie ghidată CT,Doar cu aviz specializat,A,Se recomanda biopsiere pentru studii moleculare,RI - PC6,2,3,Nu
1217,Radiologie intervențională,Oncologie,Cancer pancreatic,D,ERCP,Doar cu aviz specializat,C,"Examinarea CPRM este utilă în caracterizarea căilor biliare, în special la pacienții cu icter, precum și în caracterizarea ductului pancreatic.",RI - PC8,3,3,Da
1218,Radiologie intervențională,Oncologie,Formațiune hepatică,D,ERCP,Doar cu aviz specializat,C,"Examinarea CPRM este utilă în caracterizarea căilor biliare, în special la pacienții cu icter, precum și în caracterizarea ductului pancreatic.",RI - PC-D,3,3,Da
1219,Radiologie intervențională,Oncologie,Carcinom hepato-celular,I,Chimio- embolizare conventionala si cu drug eluting beads.,Doar cu aviz specializat,B,"Chimio-embolizarea are un efect antitumoral demonstrat la pacientii cu stadiu B conform BCLC (fara invazie vasculara sau extensie extrahepatica), dar poate de asemenea decompensa o insuficiență hepato-celulară. Este luată în discuție la pacienții care nu pot beneficia de tratament chirurgical sau cu radiofrecvență. Este de asemenea utilizată la unii pacienți cu tumori neuroendocrine multiple. În caz de tromboză de portă, fiind contraindicată chimio-embolizarea, există posibilitatea de tratament cu lipiodol marcat cu iod-131 (Lipiocis).",RI - PB6,3,4,Da
1220,Radiologie intervențională,Oncologie,Carcinom hepato-celular,I,Radioembolizare si radioterapie externa,Doar cu aviz specializat,B,Datorita efectului embolic redus al microsferelor Y90 se poate folosi la pacientii cu tromboza de vena porta.,RI - PB6,4,4,Da
1221,Radiologie intervențională,Oncologie,Hepatocarciom,I,Chemoembolizare intraarterială,Doar cu aviz specializat,A,Pentru hepatocarcinomul clasificat BCLC B,RI - PB6,2,3,Da
1222,Radiologie intervențională,Oncologie,Cholangiocarcinom și cancer al colecistului,I,Radioembolizare cu microsfere Y-90,Doar cu aviz specializat,B,Pentru colangiocarcinomul intrahepatic  avansat local sau metastatic,RI - PB6,4,4,Da
1223,Radiologie intervențională,Oncologie,Cholangiocarcinom și cancer al colecistului,I,"Drenaj biliar extern, intern si endoprotezare percutană",Doar cu aviz specializat,B,"Metode indicate pentru reducerea icterului, în cadrul managementului bolii local avansate, inoperabile",RI - PC4,3,4,Da
1224,Radiologie intervențională,Oncologie,Cholangiocarcinom și cancer al colecistului,I,Biopsie ghidată imagistic,Doar cu aviz specializat,B,Pentru colangiocarcinomul intrahepatic sau cancerul de veziculă biliară  avansat local/ inoperabil,RI - PC6,0,3,Nu
1225,Radiologie intervențională,Oncologie,Formatiuni tumorale lipomatoase suspecte de părți moi,I,Biopsie percutană,Doar cu aviz specializat,?,"Leziuni lipomatoase cu diametrul mai mare de 4cm. De obicei se pot realiza sub ghidaj ecografic, cele profunde pot necesita ghidaj CT. Biopsia excizionala ar trebui sa fie limitata la situatiile clinice precum tumori subcutanate mici sau leziuni cu aspect IRM diagnostic.",RI - PC6,0,3,Nu
1226,Radiologie intervențională,Oncologie,"Formațiune de părți moi, cervicală, cu punct de plecare necunoscut",I,puncție citologică cu ac fin ghidată ecografic (PCAFGE),Indicat,C,"Pentru numeroși autori, prelevarea citologică trebuie repetată (2 determinări), dacă rezultatul primului examen este normal (benign).",RI - PC-D,0,0,Nu
1227,Radiologie intervențională,Oncologie,Suspiciune carcinom cu celule renale,I,Biopsie percutană ecoghidată,Doar cu aviz specializat,B,"Orice formatiune tisulara renala hipercaptanta este considerata suspecta, pana la proba contrarie. Biopsia percutana poate fi efectuata fie sub ghidaj ecografic, fie CT, in functie de particularitatile anatomice sau morfotip.",RI - PB6,0,0,Nu
1228,Radiologie intervențională,Oncologie,Tumoră renală,I,Ablatie prin radiofrecventa (RFA),Doar cu aviz specializat,A,"Reprezinta o alternativa la chirurgie, la pacientii in stadiul T1a, mai ales la pacientii cu alte comorbiditati",RI - PC1,0,0,Da
1229,Radiologie intervențională,Oncologie,Tumoră renală,I,Crioablatie,Doar cu aviz specializat,?,,RI - PC1,0,0,Da
1230,Radiologie intervențională,Oncologie,Tumoră renală,I,Ablatie prin microunde,Doar cu aviz specializat,?,"Ofera o zona de ablatie mai mare, intr-un interval mai scurt de timp.",RI - PC1,0,0,Da
1231,Radiologie intervențională,Oncologie,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1232,Radiologie intervențională,Oncologie,Pacient cu tumora pulmonara,I,Biopsie ghidată CT,Doar cu aviz specializat,A,Se recomanda biopsiere pentru studii moleculare,RI - PC6,2,3,Nu
1233,Radiologie intervențională,Oncologie,Detectare,I,ERCP,Doar cu aviz specializat,C,"Examinarea CPRM este utilă în caracterizarea căilor biliare, în special la pacienții cu icter, precum și în caracterizarea ductului pancreatic.",RI - PC-D,3,3,Da
1234,Radiologie intervențională,Oncologie,Biopsie de masă mediastinală,I,Biopsie ghidată CT,Doar cu aviz specializat,B,Este puțin practicată în raport cu biopsia chirurgicală.,RI - PC1,3,3,Nu
1235,Radiologie intervențională,Oncologie,Formatiuni tumorale lipomatoase suspecte,I,Biopsie percutană,Doar cu aviz specializat,?,"Leziuni lipomatoase cu diametrul mai mare de 4cm. De obicei se pot realiza sub ghidaj ecografic, cele profunde pot necesita ghidaj CT. Biopsia excizionala ar trebui sa fie limitata la situatiile clinice precum tumori subcutanate mici sau leziuni cu aspect IRM diagnostic.",RI - PC6,0,3,Nu
1236,Radiologie intervențională,Oncologie,Masă cervicală cu punct de plecare necunoscut,I,puncție citologică cu ac fin ghidată ecografic (PCAFGE),Indicat,C,"Pentru numeroși autori, prelevarea citologică trebuie repetată (2 determinări), dacă rezultatul primului examen este normal (benign).",RI - PC-D,0,0,Nu
1237,Radiologie intervențională,Oncologie,"Stadializare, planificare operatorie",A,Angiografie convențională,Doar cu aviz specializat,C,Angiografie convențională - indicată la tumori vasculare sau bine vascularizate; se efectuează în centre specializate de neuroștiințe.,RI - PA-D,3,3,Nu
1238,Radiologie intervențională,Oncologie,Adenopatie axilară suspectă,I,Biopsie ganglionară,Doar în cazuri particulare,C,În cazurile în care mamografia si ecografia nu pun în evidență o leziune mamară suspectă,,0,2,Nu
1239,Radiologie intervențională,Oncologie,"Diagnosticul cancerului de sân: nodul mamar, retracție tegumentară, retracție mamelonară, secreție mamelonară unilaterală spontană sanguinolentă sau seroasă, suspiciune de mastită carcinomatoasă, suspiciune de boală Paget",I,Biopsie percutanată,Indicat,A,"Diagnosticul de malignitate poate fi afirmat în baza unei prelevări tisulare (biopsie histologică tru-cut sau macrobiopsie). Indicată pentru toate leziunile încadrate BI-RADS 4 și 5, pentru stabilirea diagnosticului de certitudine și a conduitei terapeutice ulterioare",,2,2,Nu
1240,Radiologie intervențională,Aparat cardiovascular,Anevrism aortă abdominală,A,Aortografie directa,Neindicat,C,,RI - PB-D,2,3,Nu
1241,Radiologie intervențională,Aparat cardiovascular,Anevrism de aortă abdominală,I,Protezare endovasculară,Doar cu aviz specializat,C,Tratamentul endovascular al anevrismelor aortei abdominale este o procedură rezervată în prezent bolnavilor cu risc chirurgical ridicat și urmează un protocol de realizare și evaluare bine stabilit,RI - PB2,3,4,Da
1242,Radiologie intervențională,Aparat cardiovascular,Anevrism aortă toracală,A,Angiografie aortică directă / invazivă,Doar în cazuri particulare,B,"În mare parte înlocuită de Angio-CT, folosită în planning chirurgical și în timpul intervențiilor percutanate (plasare de endoproteze transfemural).",RI - PB-D,3,3,Nu
1243,Radiologie intervențională,Aparat cardiovascular,Anevrism aortă toracală,I,Protezare endovasculară,Doar cu aviz specializat,C,"Tratamentul endovascular al anevrismelor toracice este o procedură înalt specializată. Ținând cont de riscurile chirurgicale, inclusiv cel al circulației extracorporale, rezultatele preliminarii arată un interes pentru acest procedeu ca tratament inițial.",RI - PB2,3,4,Da
1244,Radiologie intervențională,Aparat cardiovascular,Sindrom aortic acut,A,Arteriografie,Neindicat,C,,RI - PB-D,2,3,Nu
