NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
942,Sân,Paciente cu simptome și semne sugestive de cancer,Suspiciune clinică de cancer la paciente cu augmentare (implante),M,IRM,Doar cu aviz specializat,B,Algoritmul diagnostic imagistic urmează aceleași reguli ca la pacienta simptomatică fără implant,,0,0,Nu
943,Sân,Paciente cu simptome și semne sugestive de cancer,Adenopatie axilară suspectă,E,Ecografie,Indicat,?,Suplimentar mamografiei în cazul sânului dens și pentru caracterizarea adenopatiei,,0,0,Nu
944,Sân,Paciente cu simptome și semne sugestive de cancer,Adenopatie axilară suspectă,G,Mamografie,Indicat,C,Examinare de primă intenție la toate pacientele peste 35 ani,,1,1,Nu
945,Sân,Paciente cu simptome și semne sugestive de cancer,Adenopatie axilară suspectă,M,IRM,Doar în cazuri particulare,C,"În cazurile cu biopsie ganglionară pozitivă pentru carcinom, cu mamografie și ecografie negative",,0,0,Nu
946,Sân,Paciente cu simptome și semne sugestive de cancer,"Diagnosticul cancerului de sân: nodul mamar, retracție tegumentară, retracție mamelonară, secreție mamelonară unilaterală spontană sanguinolentă sau seroasă, suspiciune de mastită carcinomatoasă, suspiciune de boală Paget",E,Ecografie,Indicat,B,"La femei sub 35 ani – primă intenție. La femei peste 35 ani, în caz de mamografie negativă; în cazul mamografiei pozitive se indică în completarea acesteia pentru analiză suplimentară și pentru ghidarea biopsiei percutane. Parte a triplului diagnostic clinic, imagistic, patologic.",,0,0,Nu
947,Sân,Paciente cu simptome și semne sugestive de cancer,"Diagnosticul cancerului de sân: nodul mamar, retracție tegumentară, retracție mamelonară, secreție mamelonară unilaterală spontană sanguinolentă sau seroasă, suspiciune de mastită carcinomatoasă, suspiciune de boală Paget",G,Mamografie,Indicat,B,"La femei peste 35 ani. Conduita terapeutică ulterioară se bazează pe triplul diagnostic: clinic, imagistic, patologic. La femei sub 35 ani, examinarea de primă intenție este ecografia, iar conduita ulterioară este decisă în funcție de încadrarea BI-RADS ecografică.",,1,1,Nu
948,Sân,Paciente cu simptome și semne sugestive de cancer,"Diagnosticul cancerului de sân: nodul mamar, retracție tegumentară, retracție mamelonară, secreție mamelonară unilaterală spontană sanguinolentă sau seroasă, suspiciune de mastită carcinomatoasă, suspiciune de boală Paget",M,IRM,Doar cu aviz specializat,B,"Poate fi utilizat dacă sunt necesare informații complementare după mamografie și ecografie (multicentricitate, multifocalitate, bilateralitate) sau în caz de suspiciune clinică cu bilanț mamografic și ecografic negativ. Nu înlocuiește biopsia.",,0,0,Nu
949,Sân,Paciente cu simptome și semne sugestive de cancer,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
950,Cap,Neuro,Accident vascular cerebral constituit (AVC) – evaluare parenchim,M,IRM cerebral,Indicat,A,"IRM cerebral (cu secvențe FLAIR, difuzie cu ADC, ecou de gradient T2) este recomandat în faza acută a instalării unui deficit neurologic dacă acest examen nu determină o intârziere a începerii tratamentului. Pentru detecția unei leziuni hemoragice cerebrale are o sensibilitate cel puțin echivalentă cu examinarea CT fără contrast și o sensibilitate mai mare pentru diagnosticul altor cauze de deficit neurologic brutal prin celelalte secvente altele decât difuzia.",,0,0,Nu
951,Cap,Neuro,Accident vascular cerebral constituit (AVC) – evaluare parenchim,T,CT,Doar în cazuri particulare,B,Doar dacă nu se poate efectua examinare IRM sau când exista contraindicații pentru IRM. ,,2,2,Nu
952,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație extracraniană,E,Eco-Doppler trunchiuri supra-aortice,Indicat,A,Permite analiza peretelui arterial și anomalii de flux adiacente unei stenoze. Singură nu poate  da indicație de intervenție chirurgicală (necesită încă o metodă imagistică de confirmare) .,,0,0,Nu
953,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație extracraniană,M,AngioRM trunchiuri supraaortice,Indicat,B,Performanțe foarte bune ale AngioRM în estimarea stenozelor. Imaginile de înaltă rezoluție a placilor aterotrombotice stenozante simptomatice oferă posibilitatea de a defini placa dacă este 'la risc'. Pentru moment analiza plăcii nu permite indicarea tratamentului chirurgical.,,0,0,Nu
954,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație extracraniană,T,Angio-CT,Doar în cazuri particulare,B,Angio-CT-ul permite studiul vaselor intra și extracraniene în cazul contraindicației de IRM sau al unei discordanțe între ecoDoppler și angio-RM.,,2,2,Nu
955,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație intracraniană,T,Angio-CT,Indicat,B,"Ocluzia proximală a vaselor intracraniene este ușor detectată prin AngioCT. Pentru detecția și evaluarea gradului de stenoză intracraniană, AngioCT e util pentru diagnostic. Comparativ  Angio-RM permite evaluare mai bună a fluxului în aval de stenoză cât și rețeaua vasculară distală.  ",,2,2,Nu
956,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație intracraniană,E,Eco Doppler transcranian,Doar cu aviz specializat,A,Ecografia Doppler transcraniană poate fi utilizată ca o unealtă neinvazivă pentru detecția unei stenoze / ocluzii intracraniene proximale sau a unui vasospasm.,,0,0,Nu
957,Cap,Neuro,Accident vascular cerebral constituit (AVC) – vascularizație intracraniană,M,Angio-RM,Indicat,A,Secventa TOF efectuată în primele 4h30min de la debutul simptomatologie în vederea trombolizei/trombectomiei.,,0,0,Nu
958,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – evaluarea parenchimului,M,IRM cerebral cu AngioRM,Indicat,B,Recomandat în primele 24 de ore. IRM-ul este util pentru: - evidențierea unei leziuni ischemice sau hemoragice - eliminarea leziunilor care simulează un accident ischemic tranzitor - permite aprecierea stării parenchimului cerebral - participa la calculul de risc de constituire a unui AVC- AngioRM TOF pentru excluderea stenoze/ocluzii,,0,0,Nu
959,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – evaluarea parenchimului,T,CT,Doar în cazuri particulare,B,În caz de contraindicație de IRM sau de imposibilitatea efectuării unei examinări IRM. Rezultatul examinîrii CT nu va participa la scorul prognostic.,,2,2,Nu
960,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – evaluarea parenchimului,N,Scintigrafie cerebrală de perfuzie,Doar cu aviz specializat,C,"Tomoscintigrafia permite realizarea de probe de stimulare farmacodinamică (Diamox sau alți compuși) si cuplat cu examenul static ofera informatii asupra rezervei hemodinamice cerebrale. Util pentru evaluarea rezervei hemodinamice, in evaluarea rezultatului endarterectomiei carotidiene sau evaluarea preoperatorie.",,2,2,Nu
961,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – trunchiuri supraaortice,E,Eco-Doppler al vaselor cervico- craniene,Indicat,A,"Explorările ultrasonografice sunt utile pentru: - căutarea leziunii embolice, - căutarea unei disecții arteriale, - selecția pacienților în vederea intervenției chirurgicale.",,0,0,Nu
962,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – trunchiuri supraaortice,M,AngioRM,Indicat,A,Performanțe foarte bune în cazul IRM de înalta rezoluție - analiza plăcii ateromatoase stenozante.,,0,0,Nu
963,Cap,Neuro,Accident vascular cerebral tranzitor (AVCT) – trunchiuri supraaortice,T,Angio-CT,Doar în cazuri particulare,B,"Pentru studiul trunchiurilor supraaortice, de la originea lor până la nivelul ramurilor intracraniene, în cazul contraindicației de IRM / imposibilitatea efectăarii IRM de înalta rezoluție sau de discordanță între eco-Doppler și angio-RM",,2,2,Nu
964,Cap,Neuro,Afectarea bazei craniului și nervilor cranieni (cu excepția nervilor optici 23A și a nervilor acustici 13A și 14A),M,IRM cerebral și regiune cervicală,Indicat,C,"Examenul IRM studiază semnalul leziunii cu o caracterizare tisulară optimă, evaluarea extensiei, ajută la orientarea diagnostică (perfuzie, difuzie, spectroRM, angioRM dinamic)",,0,0,Nu
965,Cap,Neuro,Afectarea bazei craniului și nervilor cranieni (cu excepția nervilor optici 23A și a nervilor acustici 13A și 14A),T,CT,Doar în cazuri particulare,C,"CT-ul poate fi util în analiza bazei craniului, detectarea calcificărilor și pentru analiza anumitor structuri (pereți orbitari, lama ciuruită etmoidală, găurile bazei craniului). Se poate realiza și în contraindicații de examen IRM.",,0,0,Nu
966,Cap,Neuro,Cefalee acute brutale,M,Angio-RM,Indicat,B,Secvențele angio-RM permit punerea în evidență a malformațiilor vasculare cerebrale responsabile de hemoragia subarahnoidiană.,,2,2,Nu
967,Cap,Neuro,Cefalee acute brutale,T,Angio-CT poligon Willis,Indicat,A,CT-ul permite diagnosticul hemoragiei subarahnoidiene. Se recomandă a fi completat cu o angiografieCT de poligon Willis.,,2,2,Nu
968,Cap,Neuro,Cefalee acute brutale,T,CT cerebral,Indicat,A,CT-ul permite diagnosticul hemoragiei subarahnoidiene. Se recomandă a fi completat cu o angiografieCT de poligon Willis.,,2,2,Nu
969,Cap,Neuro,Cefalee acute brutale,M,IRM cerebral,Doar în cazuri particulare,B,"În cazul unui CT negativ pentru detecția hemoragiei subarahnoidiene cu o cefalee brutală, în cazul unei hemoragii subarahnoidiene minime și pentru diagnosticul altor entități (angeită, tromboză venoasă cerebrală, disecție cervicală sau cerebrală)",,0,0,Nu
970,Cap,Neuro,Cefalee cronice atipice (v. și capitolul Pediatrie),M,IRM,Doar în cazuri particulare,A,"Recomandat dacă examenul neurologic e anormal, cefaleea e inclasabilă, atipică, cu aură, agravată de manevra Valsalva, asociată cu vărsături.",,0,0,Nu
971,Cap,Neuro,Cefalee cronice atipice (v. și capitolul Pediatrie),T,CT cerebral,Doar în cazuri particulare,B,Daca există contraindicații pentru IRM.,,2,2,Nu
972,Cap,Neuro,Cefalee progresive neobișnuite,M,Angio-RM cerebral,Indicat,A,Indicată pentru detectarea cauzei cefaleei progresive. Tromboza venoasă trebuie cautată sistematic.,,0,0,Nu
973,Cap,Neuro,Cefalee progresive neobișnuite,M,IRM cerebral,Indicat,A,Indicată pentru detectarea cauzei cefaleei progresive. Tromboza venoasă trebuie cautată sistematic.,,0,0,Nu
974,Cap,Neuro,Crize comițiale (v. și capitolul Pediatrie),M,IRM cerebral,Indicat,B,"La un pacient cu o primă criză epileptică examinarea IRM are rolul de a evidenția o eventuală leziune cerebrală. Examinarea se va efectua în urgență în caz de status epilepticus inaugural, febră sau deficit neurologic perisistent sau se va efectua rapid în alte cazuri (cefalee persistentă, anticoagulante, neplazie cunoscută, HIV)",,0,0,Nu
975,Cap,Neuro,Crize comițiale (v. și capitolul Pediatrie),T,CT,Doar în cazuri particulare,C,Se va efectua în context posttraumatic sau dacă există contraindicații pentru IRM sau imposibilitatea efectuării IRM.,,2,2,Nu
976,Cap,Neuro,Epilepsie cronică farmacorezistentă,M,IRM cerebral,Doar cu aviz specializat,B,"Necesită analiza detaliată a structurilor amigdalo-hipocampice. De preferat la un aparat 3 Tesla. Se pot adauga tensor de difuzie, spectroRM, volumetrie, IRM funcțional în centre specializate.",,0,0,Nu
977,Cap,Neuro,Epilepsie cronică farmacorezistentă,N,PET-CT,Doar cu aviz specializat,B,PET cu F18-FDG permite obținerea unei imagini funcționale intercritice si depistarea unui hipometabolism focal (la nivelul focarului epileptogen). Este necesar un consult de specialitate.,,2,2,Nu
978,Cap,Neuro,Epilepsie cronică farmacorezistentă,N,Scintigrafie cerebrală de perfuzie,Doar cu aviz specializat,B,"Scintigrafia cerebrală de perfuzie în perioada acritică este un examen foarte sensibil, permite localizarea focarului epileptogen. Este necesar un consult de specialitate.",,2,3,Nu
979,Cap,Neuro,Hidrocefalie (v. și capitolul Pediatrie),M,IRM cerebral,Indicat,C,IRM-ul permite diagnosticul pozitiv și etiologic al unei hidrocefalii și permite în egală măsură supravegherea pacienților purtători de catetere de derivație sau ventriculostomie; se recomandă verificarea functionalității cateterului de derivație după examinarea IRM.,,0,0,Nu
980,Cap,Neuro,Hidrocefalie (v. și capitolul Pediatrie),T,CT cerebral,Doar în cazuri particulare,C,În caz de contraindicații ale examenului IRM,,2,2,Nu
981,Cap,Neuro,Hidrocefalie Funcționarea cateterului de derivație (v. și capitolul Pediatrie),T,CT cerebral,Indicat,C,Permite supravegherea pacienților purtători de cateter de derivație.,,2,2,Nu
982,Cap,Neuro,Hidrocefalie Funcționarea cateterului de derivație (v. și capitolul Pediatrie),G,"Radiografie de craniu, col. cervicală și abdominală simplă",Doar în cazuri particulare,C,"Radiografia coloanei vertebrale permite verificarea poziției cateterului de derivație și conectarea între cateterul ventricular, corpul valvei și cateterul peritoneal. O radiografie abdominală simplă permite verificarea poziționării corecte a acestui cateter în cavitatea peritoneală.",,1,1,Nu
983,Cap,Neuro,Mișcări anormale,M,IRM cerebral,Indicat,C,"Pentru toate sindroamele parkinsoniene după un consult de specialitate, poate fi efectuat un IRM pentru diagnostic diferențial (maladia Parkinson nu are semne sepcifice IRM) - pentru a elimina o cauză vasculară, tumorală sau pentru a analiza atrofia. Examenul va avea minim o secvență 3D T1 pentru topografia atrofiei, o secvență T2 cu două ecouri pentru a pune în evidență hipersemnalul din trunchi  si nucleele de substanță cenușie și o secvență FLAIR pentru a căuta leziunile microvasculare. Este indicat și în bilanțul celorlalte mișcări anormale (coree, distonie)",,1,1,Nu
984,Cap,Neuro,Mișcări anormale,T,CT cerebral,Doar în cazuri particulare,C,În caz de contraindicații ale examinării IRM sau în imposibilitatea efectuării acestuia.,,0,2,Nu
